ClienteID,Genero,Maior65,Colaborador,Dependentes,Fidelização,TipoServiço,LinhasMultiplas,ServiçoInternet,SegurançaOnline,CópiadeSegurançaOnline,ProteçãoTM,SuporteTécnico,ServiçoStreamingTV,ServiçoStreamingFilmes,TipodeContrato,FaturaEletronica,MétododePagamento,TarifaMensal,TotalTarifas,Ativo
7590-VHVEG,Feminino,0,Sim,Não,1,Não,Sem serviço telefónico,DSL,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrónico,29.85,29.85,Não
5575-GNVDE,Masculino,0,Não,Não,34,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Não,Anual,Não,Cheque por email,56.95,1889.5,Não
3668-QPYBK,Masculino,0,Não,Não,2,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque por email,53.85,108.15,Sim
7795-CFOCW,Masculino,0,Não,Não,45,Não,Sem serviço telefónico,DSL,Sim,Não,Sim,Sim,Não,Não,Anual,Não,Transferência Bancária (automatico),42.3,1840.75,Não
9237-HQITU,Feminino,0,Não,Não,2,Sim,Não,Fibra ótica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrónico,70.7,151.65,Sim
9305-CDSKC,Feminino,0,Não,Não,8,Sim,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque Eletrónico,99.65,820.5,Sim
1452-KIOVK,Masculino,0,Não,Sim,22,Sim,Sim,Fibra ótica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Cartão de Crédito (automatico),89.1,1949.4,Não
6713-OKOMC,Feminino,0,Não,Não,10,Não,Sem serviço telefónico,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque por email,29.75,301.9,Não
7892-POOKP,Feminino,0,Sim,Não,28,Sim,Sim,Fibra ótica,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque Eletrónico,104.8,3046.05,Sim
6388-TABGU,Masculino,0,Não,Sim,62,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Anual,Não,Transferência Bancária (automatico),56.15,3487.95,Não
9763-GRSKD,Masculino,0,Sim,Sim,13,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque por email,49.95,587.45,Não
7469-LKBCI,Masculino,0,Não,Não,16,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Não,Cartão de Crédito (automatico),18.95,326.8,Não
8091-TTVAX,Masculino,0,Sim,Não,58,Sim,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Anual,Não,Cartão de Crédito (automatico),100.35,5681.1,Não
0280-XJGEX,Masculino,0,Não,Não,49,Sim,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Transferência Bancária (automatico),103.7,5036.3,Sim
